	PLAYER	2018/19 	2018/19(*)
345.	Aaron Holiday	$1,914,480	$1,946,039
346.	Timothe Luwawu	$1,880,268	$1,911,263
347.	Tyler Lydon	$1,874,640	$1,905,543
348.	Anfernee Simons	$1,837,800	$1,868,095
349.	Tim Frazier	$1,832,107	$1,862,308
350.	Trey Burke	$1,795,015	$1,824,605
351.	Malik Beasley	$1,773,840	$1,803,081
352.	Moritz Wagner	$1,764,240	$1,793,323
353.	Nerlens Noel	$1,757,429	$1,786,399
353.	Ian Clark	$1,757,429	$1,786,399
355.	Deyonta Davis	$1,741,503	$1,770,211
356.	Caleb Swanigan	$1,740,000	$1,768,683
356.	Furkan Korkmaz	$1,740,000	$1,768,683
358.	Landry Shamet	$1,705,920	$1,734,041
359.	Caris LeVert	$1,702,800	$1,730,870
360.	Jonah Bolden	$1,690,000	$1,717,859
360.	Rodions Kurucs	$1,690,000	$1,717,859
362.	Kyle Kuzma	$1,689,840	$1,717,696
363.	Tony Bradley	$1,679,520	$1,707,206
364.	Derrick White	$1,667,160	$1,694,642
365.	Kyle Singler	$1,665,333	$1,692,785
366.	Robert Williams	$1,656,600	$1,683,908
367.	MarShon Brooks	$1,656,092	$1,683,392
367.	Spencer Dinwiddie	$1,656,092	$1,683,392
369.	Josh Hart	$1,655,160	$1,682,445
370.	Jacob Evans	$1,646,400	$1,673,540
371.	Pat Connaughton	$1,641,000	$1,668,051
372.	DeAndre Bembry	$1,634,640	$1,661,586
373.	Dzanan Musa	$1,634,400	$1,661,342
374.	Omari Spellman	$1,622,520	$1,649,266
375.	James Ennis	$1,621,415	$1,648,143
375.	Noah Vonleh	$1,621,415	$1,648,143
377.	Luke Kornet	$1,619,260	$1,645,953
378.	Richaun Holmes	$1,600,520	$1,626,904
378.	TJ McConnell	$1,600,520	$1,626,904
380.	Malachi Richardson	$1,569,360	$1,595,230
381.	Jahlil Okafor	$1,567,007	$1,592,838
381.	Kevon Looney	$1,567,007	$1,592,838
383.	Pascal Siakam	$1,544,951	$1,570,419
383.	Dejounte Murray	$1,544,951	$1,570,419
383.	Skal Labissiere	$1,544,951	$1,570,419
383.	Jake Layman	$1,544,951	$1,570,419
383.	Cheick Diallo	$1,544,951	$1,570,419
383.	Malcolm Brogdon	$1,544,951	$1,570,419
383.	Rodney McGruder	$1,544,951	$1,570,419
383.	Ivica Zubac	$1,544,951	$1,570,419
383.	Wade Baldwin	$1,544,951	$1,570,419
383.	Quinn Cook	$1,544,951	$1,570,419
383.	Damian Jones	$1,544,951	$1,570,419
383.	Dorian Finney-Smith	$1,544,951	$1,570,419
383.	Wayne Selden	$1,544,951	$1,570,419
396.	Georges Niang	$1,512,601	$1,537,535
396.	Christian Wood	$1,512,601	$1,537,535
396.	Derrick Jones	$1,512,601	$1,537,535
396.	Gerald Green	$1,512,601	$1,537,535
396.	David Nwaba	$1,512,601	$1,537,535
396.	Treveon Graham	$1,512,601	$1,537,535
402.	Willy Hernangomez	$1,496,500	$1,521,169
403.	Sviatoslav Mykhailiuk	$1,487,694	$1,512,218
404.	Mitchell Robinson	$1,485,440	$1,509,927
405.	Michael Carter-Williams	$1,468,082	$1,492,281
406.	Jawun Evans	$1,455,492	$1,479,485
407.	Thomas Bryant	$1,378,242	$1,400,962
407.	Royce O'Neale	$1,378,242	$1,400,962
